SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,GHGEmissionsIntensity(kgCO2e/ft2),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),SPD Beats,Seattle Police Department Micro Community Policing Plan Areas,GHGEmissionsIntensity,TotalGHGEmissions,City,State,ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,ListOfAllPropertyUseTypes,SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),Electricity(kBtu),SourceEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SiteEnergyUse(kBtu),NumberofFloors,NumberofBuildings,DefaultData,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),Neighborhood,CouncilDistrictCode,ComplianceStatus,PropertyGFAParking,YearBuilt,PropertyGFATotal,BuildingType,DataYear,zip_codes,Longitude,Latitude,parcelTax_number
28074.10015345275,50.0,3.59,0.0,576.63,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,48.0,57.0,77079.36204268293,488.0,200.8,3623542.0,1857347.0,47590.0,4759044.0,6337531.0,205.2,101.1,107.2,15615929.0,14719853.0,11.0,1.0,0.0,15.0,5.0,133884.0,6.0,7.0,0.0,19279.0,1969.0,153163.0,4.0,2015.0,18081.0,-122.33431932,47.60712147,942000145.0
28074.10015345275,50.0,1.93,0.0,723.4,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,32.0,13.0,336640.0,164.0,207.2,5426396.0,5585560.0,32327.0,3232700.0,19058722.0,208.0,82.3,83.1,27970822.0,27717026.0,25.0,1.0,0.0,16.0,5.0,272015.0,6.0,7.0,0.0,61161.0,1998.0,333176.0,4.0,2015.0,18081.0,-122.33347215,47.60718204,942000165.0
28074.10015345275,50.0,5.04,0.0,334.87,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,39.0,13.0,65009.0,164.0,166.5,1987163.0,473326.0,32051.0,3205074.0,1615057.0,158.2,104.7,96.8,6292213.0,6807227.0,9.0,1.0,0.0,17.0,5.0,65009.0,6.0,7.0,0.0,0.0,1928.0,65009.0,4.0,2015.0,18081.0,-122.33310536,47.60709939,942000210.0
57600.0,34.0,1.95,0.0,675.34,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,56.0,13.0,295511.0,171.0,183.2,4731090.0,4129637.0,39903.0,3990280.0,14090906.0,183.2,77.2,77.2,22811690.0,22811690.0,33.0,1.0,1.0,18.0,5.0,258352.0,6.0,7.0,0.0,57600.0,1980.0,315952.0,4.0,2015.0,18081.0,-122.33211517,47.60809326,942000235.0
28074.10015345275,50.0,6.95,0.0,486.25,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,14.0,57.0,77079.36204268293,488.0,317.4,4403788.0,1198487.0,22184.0,2218425.0,4089407.0,326.0,166.1,175.7,11329230.0,10711451.0,11.0,1.0,0.0,19.0,5.0,67390.0,6.0,7.0,0.0,0.0,1922.0,67390.0,4.0,2015.0,18081.0,-122.3323288,47.60761642,942000265.0
49000.0,34.0,0.24,0.0,166.84,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,16.0,364913.0,51.0,140.8,703184.0,4732136.0,0.0,0.0,16146718.0,137.6,46.0,45.3,16594622.0,16849234.0,11.0,1.0,0.0,21.0,15.0,355000.0,6.0,7.0,0.0,57000.0,2004.0,412000.0,5.0,2015.0,18379.0,-122.33226425,47.60667501,942000275.0
40000.0,24.0,3.74,0.0,411.09,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,10.0,90000.0,130.0,173.7,4398022.0,1549824.0,6543.0,654260.0,5288219.0,178.4,79.5,83.4,10843936.0,10340282.0,6.0,1.0,0.0,22.0,15.0,103911.0,6.0,7.0,0.0,0.0,1930.0,103911.0,4.0,2015.0,18379.0,-122.33280182,47.60544586,942000350.0
85000.0,34.0,1.59,0.0,755.12,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,30.0,13.0,348329.0,171.0,231.9,0.0,6427712.0,113392.0,11339166.0,21932264.0,234.7,95.5,97.4,33922016.0,33270518.0,28.0,1.0,0.0,23.0,5.0,331281.0,6.0,7.0,0.0,85000.0,1983.0,416281.0,4.0,2015.0,18379.0,-122.33063632,47.60656003,942000430.0
15505.0,41.0,4.34,0.0,265.5,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,51.0,16442.0,376.0,278.7,1755365.0,1106043.0,19526.0,1952583.0,3773975.0,290.2,130.2,140.2,8052425.0,7481768.0,5.0,1.0,0.0,24.0,12.0,57452.0,6.0,7.0,0.0,0.0,1907.0,57452.0,4.0,2015.0,18379.0,-122.33163032,47.60552597,942000510.0
28074.10015345275,50.0,3.87,0.0,411.22,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,83.0,57.0,77079.36204268293,488.0,119.5,3205497.0,524792.0,28490.0,2849024.0,1790665.0,118.6,75.2,74.9,7816594.0,7845112.0,10.0,1.0,0.0,25.0,5.0,104352.0,6.0,7.0,0.0,0.0,1916.0,104352.0,4.0,2015.0,18379.0,-122.3320576,47.60397899,942000610.0
28074.10015345275,50.0,2.74,0.0,1596.08,20.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.0,5.0,537150.0,40.0,208.5,0.0,7853984.0,265349.0,26534856.0,26798906.0,210.4,99.3,103.1,55378956.0,53332648.0,10.0,1.0,0.0,26.0,15.0,540360.0,6.0,7.0,0.0,0.0,1916.0,540360.0,4.0,2015.0,18379.0,-122.33052826,47.60264587,942000860.0
28074.10015345275,50.0,4.44,0.0,1795.42,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,25.0,385274.0,416.0,245.5,0.0,5766838.0,312228.0,31222797.0,19677268.0,243.9,132.1,136.1,52435544.0,50899248.0,19.0,1.0,0.0,27.0,15.0,385274.0,6.0,3.0,0.0,0.0,1985.0,385274.0,4.0,2015.0,18379.0,-122.32830048,47.60355377,942001010.0
28074.10015345275,50.0,0.56,0.0,35.17,43.0,30.0,1.175916245916246,120.07988409011996,1.0,1.0,96.0,14.0,58320.0,181.0,59.2,0.0,267181.0,5426.0,542600.0,911659.0,63.9,25.1,29.6,1716043.0,1454222.0,2.0,1.0,1.0,28.0,6.0,56228.0,17.0,2.0,0.0,0.0,1961.0,56228.0,7.0,2015.0,18800.0,-122.2685843,47.54570136,1102000138.0
30586.0,34.0,1.04,0.0,102.08,38.0,60.0,1.175916245916246,120.07988409011996,1.0,1.0,85.0,13.0,58006.0,171.0,151.5,0.0,660802.0,16261.0,1626149.0,2254751.0,149.7,66.9,66.3,3848493.0,3880806.0,6.0,1.0,0.0,29.0,5.0,58006.0,13.0,4.0,0.0,30586.0,2001.0,88592.0,4.0,2015.0,18383.0,-122.3173925,47.65953281,1142000755.0
28074.10015345275,50.0,2.28,0.0,308.6,7.0,56.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,3.0,125000.0,29.0,158.9,0.0,1343046.0,52091.0,5209084.0,4582663.0,172.1,78.3,90.9,11360926.0,9791557.0,7.0,1.0,0.0,30.0,0.0,126593.0,6.0,7.0,0.0,0.0,1928.0,126593.0,4.0,2015.0,19576.0,-122.3369292,47.61839333,660001420.0
